DATE,SCFI,북미,유럽,인도-중국,아시아,기타
2009-03-01,808.9,901.8,434,340.5,204.5,438.2
2009-04-01,958.8,849.9,618.4,357.1,211.4,555.9
2009-05-01,904.4,815.8,548.3,366.5,225.7,544.7
2009-06-01,888.2,770.4,541,386.5,242.3,532.4
2009-07-01,1156.8,733.6,816.9,405.9,247.5,628.3
2009-08-01,1637.7,873.6,1089,457,271.3,944.2
2009-09-01,1934,963.2,1324.6,557,327,1320.4
2009-10-01,1245.2,968.6,1372.5,574.5,339.5,1474.1
2009-11-01,1051.7,973.6,1510.8,637.3,380.5,1561.7
2009-12-01,1052.1,955.4,1566.6,641.4,380.9,1521.7
2010-01-01,1216.2,1132.7,1923.8,660,386.3,1573
2010-02-01,1393.7,1330.1,2210.5,711.8,411.2,1625.2
2010-03-01,1362.6,1306.2,2162.8,708.5,406.5,1584.8
2010-04-01,1329.5,1305.8,1993.4,724.4,414.9,1548.3
2010-05-01,1431.9,1541.2,1963.6,802.1,458.6,1521.5
2010-06-01,1547.9,1649.7,1977.4,936.6,521.9,1524.3
2010-07-01,1572.7,1688,1994,977.6,538.2,1504.7
2010-08-01,1517.8,1679.5,1942.6,931.6,510.1,1436.2
2010-09-01,1413.1,1591.6,1822.3,737,409.7,1396.1
2010-10-01,1279.2,1442.6,1627.5,623.8,350.8,1278.1
2010-11-01,1202.7,1308.3,1537.6,536.1,306.6,1264
2010-12-01,1103.7,1206.3,1431.7,412.3,244.9,1094.6
2011-01-01,1112.8,1257.1,1421,390,235.5,1047.7
2011-02-01,1062.8,1196.1,1335.5,391.8,238.5,996.9
2011-03-01,999.1,1098.9,1140.5,441.3,262,888.8
2011-04-01,1023.6,1135.6,1057.8,512,305.2,888.3
2011-05-01,1072.5,1237.3,1011,558.5,334.5,974.4
2011-06-01,1039.4,1171.7,968.8,563.8,337.8,1033.7
2011-07-01,1020.1,1155.9,923.1,559.7,336.1,1147.5
2011-08-01,1045.2,1186.6,938.9,576.9,342.6,1297.5
2011-09-01,1016.8,1166.6,893.1,574.9,340.5,1185.3
2011-10-01,939.8,1073,776.7,564.3,333.3,1046.7
2011-11-01,895.5,1022.4,659.4,555.6,327.9,984.6
2011-12-01,876.3,994.4,634.4,538,313.6,877.2
2012-01-01,979.6,1173.1,819.2,531.2,308.5,1014.1
2012-02-01,965.6,1163.1,828.6,532.9,308.1,937.6
2012-03-01,1227.1,1222.4,1526.9,569.3,327.1,1167
2012-04-01,1426.5,1416.4,1867.8,605.8,348,1361.7
2012-05-01,1450.3,1444,1881.1,639.9,359.9,1342.8
2012-06-01,1427.6,1554.5,1745.9,629.1,355.1,1333
2012-07-01,1362.2,1501.4,1838.3,631.3,363.5,1253.5
2012-08-01,1346.3,1613.7,1610.5,614.3,353.9,1256.5
2012-09-01,1265.1,1607.3,1309.8,617.3,359.5,1252.2
2012-10-01,1213.8,1538.3,1266.8,611.8,356.8,1260.1
2012-11-01,1148,1366.6,1340.3,615.1,357.1,1310.9
2012-12-01,1127.1,1360.3,1300.4,618.9,359.1,1203.8
2013-01-01,1213.5,1478.3,1440.8,610.5,355.3,1279.4
2013-02-01,1197.7,1490.2,1367.5,586.2,340.8,1240.8
2013-03-01,1142.3,1381.1,1288.8,573.6,339.2,1184.7
2013-04-01,1098.4,1389,1035.8,581,345.5,1192.1
2013-05-01,1006.4,1304.6,792.9,559.7,332.9,1019.5
2013-06-01,999.3,1255.3,852,548.5,323.5,835
2013-07-01,1090.5,1313.5,1409.1,550.1,325.1,709.3
2013-08-01,1122.9,1308.2,1434.3,545.5,320.7,804.1
2013-09-01,1002.6,1268.5,1014,545.3,319.8,741.8
2013-10-01,889.5,1187.6,762.7,546,320,684
2013-11-01,1068.9,1192.9,1299.9,544.7,318.9,1142.7
2013-12-01,1079.3,1167.7,1491.5,527,308,1022.5
2014-01-01,1174.9,1296.1,1747.4,516,302,968.1
2014-02-01,1069.4,1288.4,1406.8,510.5,297.5,762.3
2014-03-01,969.1,1240.8,1078.3,522,308.5,665.3
2014-04-01,1062.1,1263.8,1241.3,552,326.8,858.5
2014-05-01,1138.5,1287.7,1370.7,587.9,345.7,803.2
2014-06-01,1066.3,1215.5,1252.1,593.9,346.6,793.8
2014-07-01,1092.6,1274.7,1381.9,583.1,338.6,944.3
2014-08-01,1134.3,1487.5,1329.2,583.4,338,1059.5
2014-09-01,1034,1507.8,1069.3,564.8,327.8,771.8
2014-10-01,977.8,1421.1,945.6,560,325.4,850.3
2014-11-01,1018.9,1424.4,1002.1,564.4,326.1,1071.2
2014-12-01,1066.7,1491.5,1232.1,559.6,324.1,842.2
2015-01-01,1051.2,1512,1187.5,567.7,329.9,813.9
2015-02-01,1071.7,1624.7,1088.3,553,320.5,728.2
2015-03-01,868.5,1412.2,777.1,529.1,311.9,599.8
2015-04-01,745.2,1287.5,532.6,528.9,315.1,532.4
2015-05-01,737.3,1154.1,626.2,497,296.8,583.4
2015-06-01,600.5,994.6,396,436.5,256.3,390.8
2015-07-01,675.2,966.2,796,417.8,246.4,385.5
2015-08-01,715,1070.4,702,414.8,241.8,400.1
2015-09-01,646.7,950,605.9,429.4,252.6,318.3
2015-10-01,594.3,870.8,479,432.6,253.4,362.1
2015-11-01,551.3,680.9,540.1,394.1,225.6,391.5
2015-12-01,566.8,657.2,729.8,256.8,159.2,332.9
2016-01-01,658.4,932.5,729.8,238.3,148.3,389.6
2016-02-01,522,809.2,425.3,229,145.8,334.9
2016-03-01,414.1,595.9,277.6,194.6,124.4,367.5
2016-04-01,507,600.2,433.2,167.6,110,540
2016-05-01,561.8,581.7,674.3,171,111.5,702.9
2016-06-01,554.6,575,712.4,172.9,112.9,940.8
2016-07-01,694.9,778.9,1004.4,164.4,109.2,1095.3
2016-08-01,627.2,736.4,802.6,155.1,101.6,1120.4
2016-09-01,755.9,1019.8,908.6,150.8,97.6,991.3
2016-10-01,808.5,1127,854.5,170.3,108.8,1235.8
