,0,1,2,3,4
2009,154217,86141,42662,36783,71129
2010,145275.28,89326.92566,42503.27731,37048.50444,74933.91121
2011,138218.6476,89561.68702,42958.11178,36328.74772,85038.18028
2012,138861.2378,91424.68823,40568.7141,37522.23564,84269.49081
2013,133853.2039,90659.85625,40800.37921,38495.09618,78816.32351
2014,132335.9799,97018.41558,40887.67129,37796.63697,82066.39715
2015,141129.5643,92826.12779,40248.49381,37111.00689,86877.90512
2016,138737.3392,84335.33338,40327.7235,38279.59923,83077.09749
2017,144908.1127,79564.71154,40296.58515,38741.61022,76834.42801
2018,150925.2844,78869.70682,39532.54665,38747.2445,76012.64053
2019,144322.113,79381.04807,39343.51252,39178.65498,78176.14167
2020,141954.5208,71793.29207,40477.41213,39405.24304,77192.38399
2021,141886.992,75069.20062,41005.84444,38886.43736,77318.97548
2022,141886.992,75069.20062,41005.84444,38886.43736,77318.97548
